"";"ID";"Host.Since";"City";"Neighbourhood.Group.Cleansed";"Latitude";"Longitude";"Zipcode";"Property.Type";"Room.Type";"Accommodates";"Bathrooms";"Bedrooms";"Beds";"Number.of.Reviews";"Review.Scores.Rating";"Reviews.per.Month";"Cancellation.Policy";"precio.total";"precio_m2_2017";"Wireless.Internet";"Kitchen";"Heating";"Essentials";"Washer";"TV";"Elevator.in.building";"Family.kid.friendly";"Iron";"Hair.dryer";"Air.conditioning";"Laptop.friendly.workspace";"Smoke.detector";"Wheelchair.accessible";"Lock.on.bedroom.door";"Free.parking.on.premises"
"9032";6024491;"1/6/14";"Madrid";"Carabanchel";40,3856681152194;-3,74692744217187;28025;"Bed & Breakfast";"Private room";2;1;1;2;2;100;0,09;"flexible";40;1554;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1
"9033";13279315;"28/7/13";"Madrid";"Centro";40,4276895373894;-3,70384797875198;28013;"Apartment";"Private room";2;1;1;2;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1
"9034";15934739;"22/6/16";"Madrid";"Centro";40,4139812237469;-3,70757296353935;28013;"Apartment";"Private room";2;1;1;1;8;80;2,86;"strict";40;3564;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"9035";16187904;"6/4/16";"Madrid";"Chamartin";40,4397840861725;-3,6761427707367;28002;"Apartment";"Private room";2;1;1;2;5;100;1,19;"moderate";40;3663;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1
"9036";14964624;"25/12/14";"Madrid";"Chamberi";40,441252026197;-3,70419674627541;28010;"Apartment";"Private room";2;1;1;1;2;100;0,33;"flexible";40;3863;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"9037";16388405;"1/6/16";"Madrid";"Chamberi";40,4336033135835;-3,71460916037958;28010;"House";"Private room";1;5,5;10;1;1;100;0,83;"flexible";40;3863;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1
"9038";8528434;"8/5/14";"Madrid";"Centro";40,4111027072174;-3,70691809300613;28013;"Apartment";"Private room";2;4;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1
"9039";1981286;"23/11/13";"Madrid";"Centro";40,406393082006;-3,69866100476615;28013;"Apartment";"Entire home/apt";2;1;1;1;300;86;7,51;"moderate";40;3564;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1
"9040";6610391;"8/11/13";"Madrid";"Moncloa - Aravaca";40,4232782449362;-3,72306703063312;28008;"Apartment";"Private room";2;1,5;1;1;1;100;0,86;"moderate";40;3029;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1
"9041";531286;"11/6/12";"Madrid";"Centro";40,4106031104873;-3,70819447110104;28013;"House";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
"9042";7304230;"14/2/15";"Madrid";"Centro";40,4204719461179;-3,70943038005019;28013;"Apartment";"Entire home/apt";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1
"9043";8511594;"8/5/14";"Madrid";"Centro";40,4109409459483;-3,70694347216935;28013;"Apartment";"Private room";2;4;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1
"9044";4475410;"1/11/14";"Madrid";"Centro";40,4098073493737;-3,70273991491221;28013;"Apartment";"Entire home/apt";2;1;1;1;120;92;4,29;"flexible";40;3564;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1
"9045";13634220;"1/6/14";"Madrid";"Chamberi";40,4324294297759;-3,70207196209765;28010;"Apartment";"Private room";2;1;1;1;5;95;0,54;"moderate";40;3863;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;1
"9046";15015080;"13/8/13";"Madrid";"Centro";40,4202537019617;-3,69895309828728;28013;"Apartment";"Private room";2;4,5;1;2;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"9047";8649225;"30/9/15";"Madrid";"Centro";40,4256217633868;-3,70579631682926;28013;"Apartment";"Private room";1;1;1;1;1;80;0,06;"flexible";40;3564;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"9048";8545199;"8/5/14";"Madrid";"Centro";40,4202918387425;-3,7041222503378;28013;"Apartment";"Private room";2;3;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1
"9049";6322780;"8/5/15";"Madrid";"Moncloa - Aravaca";40,4584764896908;-3,78496916322583;28008;"Bed & Breakfast";"Private room";2;1;1;2;4;95;0,2;"strict";40;3029;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1
"9050";16211119;"2/12/16";"Madrid";"Moncloa - Aravaca";40,4262109289459;-3,7165086082804;28008;"Apartment";"Private room";2;1;1;1;8;95;2;"flexible";40;3029;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1
