ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
4455297;29/10/2014;Salamanca;Madrid;"40,43556116";"-3,683676763";28003;Apartment;Entire home/apt;4;1;1;2;0;"91,60293384";"1,935054739";moderate;915;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
7732757;05/08/2015;Salamanca;Madrid;"40,42189671";"-3,676548418";28009;Apartment;Entire home/apt;4;2;2;3;49;97;"2,41";strict;900;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
16279601;21/05/2012;Moncloa - Aravaca;Madrid;"40,42520682";"-3,717942829";28008;Apartment;Entire home/apt;6;3;4;4;1;100;"0,88";strict;900;3029;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE
12506480;18/04/2016;Moncloa - Aravaca;Madrid;"40,4222532";"-3,722199058";28008;Apartment;Entire home/apt;11;2;5;5;0;"91,60293384";"1,935054739";flexible;900;3029;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
14838378;21/08/2013;Centro;Madrid;"40,41222698";"-3,695678964";28014;Loft;Entire home/apt;3;1;0;2;5;100;"0,74";flexible;900;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
1281843;12/06/2013;Centro;Madrid;"40,4184815";"-3,698829865";28014;Apartment;Entire home/apt;1;1;1;1;0;"91,60293384";"1,935054739";strict;900;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
15795938;02/11/2016;Moncloa - Aravaca;Madrid;"40,42296642";"-3,723921487";28008;Apartment;Entire home/apt;4;1;1;2;14;96;"2,86";moderate;883;3029;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
15639205;29/03/2012;Centro;Madrid;"40,41716102";"-3,694712405";28014;Apartment;Entire home/apt;4;1;1;2;0;"91,60293384";"1,935054739";flexible;882;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
1910871;21/03/2012;Centro;Madrid;"40,41095961";"-3,710580432";28005;Apartment;Entire home/apt;5;1;3;4;23;96;"0,67";strict;873;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
14771127;28/06/2015;Centro;Madrid;"40,40877906";"-3,712511376";28005;Apartment;Entire home/apt;6;2;2;3;6;70;"0,89";strict;870;3564;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
7673910;02/08/2015;Puente de Vallecas;Madrid;"40,39758851";"-3,667238384";28053;Apartment;Entire home/apt;3;1;1;2;0;"91,60293384";"1,935054739";strict;860;1424;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
6022817;20/02/2015;Chamberí;Madrid;"40,42930635";"-3,700321492";28004;Apartment;Entire home/apt;6;"2,5";3;5;24;96;"1,01";strict;860;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
16695877;05/08/2011;Chamberí;Madrid;"40,43608086";"-3,691916604";28010;Apartment;Entire home/apt;7;4;4;4;0;"91,60293384";"1,935054739";strict;860;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
